shift,metric,baseline,sentiment
1dayshift,MAE,10.922646077473956,10.214794921874994
1dayshift,MAPE,3.2828108266113536,3.0297127967512076
1dayshift,MDAPE,3.1259671114753433,1.8989285737553012
4dayshift,MAE,11.622064208984376,17.893307495117188
4dayshift,MAPE,3.521554991138223,5.25062009284787
4dayshift,MDAPE,3.237009045372323,5.424981375398167
7dayshift,MAE,15.355542582850303,20.05055236816407
7dayshift,MAPE,4.635999056139214,6.120045765162107
7dayshift,MDAPE,3.908025500645894,5.191824765484973
