,Open_x,High_x,Low_x,Close_x,Volume_x,Daily%Change,2D%Change,3D%Change,4D%Change,5D%Change,6D%Change,7D%Change,Dir,2Dir,3Dir,4Dir,5Dir,6Dir,7Dir,date,TICKER,SD
0,272.0,277.0899963378906,269.80999755859375,273.1600036621094,12900400,,,,,,,,0,0,0,0,0,0,0,2020-12-31,FB,0.30927461740969614
1,274.7799987792969,275.0,265.20001220703125,268.94000244140625,15106100,-1.5448825465396943,,,,,,,0,0,0,0,0,0,0,2021-01-04,FB,0.6031749455600574
2,268.2900085449219,272.3999938964844,268.2099914550781,270.9700012207031,9871600,0.7548147396700955,-0.8017288080414686,,,,,,1,0,0,0,0,0,0,2021-01-05,FB,0.4815690340361431
3,262.0,267.75,260.010009765625,263.30999755859375,24354100,-2.8268825433079403,-2.0934055297478826,-3.6059474196302066,,,,,0,0,0,0,0,0,0,2021-01-06,FB,0.6180346987809103
4,265.8999938964844,271.6099853515625,264.7799987792969,268.739990234375,15789800,2.062205281276075,-0.822973383135428,-0.0743705678647899,-1.6181041764817827,,,,1,0,0,0,0,0,0,2021-01-07,FB,0.9448933536277317
5,268.30999755859375,268.95001220703125,263.17999267578125,267.57000732421875,18528300,-0.4353586934106368,1.6178685978974316,-1.2547491903781238,-0.5094054825428906,-2.046418312691667,,,0,1,0,0,0,0,0,2021-01-08,FB,0.8111614414204307
6,260.4800109863281,263.4700012207031,255.89999389648438,256.8399963378906,30412300,-4.010169560344778,-4.4280696319539565,-2.4571802364866002,-5.2146011806316945,-4.499147019288008,-5.974523028783563,,0,0,0,0,0,0,0,2021-01-11,FB,1.1328522622416306
7,256.6300048828125,259.7200012207031,250.3000030517578,251.08999633789062,26383500,-2.238747890509807,-6.159139864416508,-6.567684206988089,-4.640918056286047,-7.336607297211617,-6.637170350812571,-8.079516411018462,0,0,0,0,0,0,0,2021-01-12,FB,0.6129923747412037
8,251.5500030517578,253.9499969482422,249.1999969482422,251.63999938964844,19528900,0.21904618255585984,-2.024605599745155,-5.95358504261192,-6.363024285969954,-4.43203762756802,-7.1336316728694005,-6.432662636539888,1,0,0,0,0,0,0,2021-01-13,FB,0.3322770376954787
9,253.39999389648438,255.02999877929688,244.61000061035156,245.63999938964844,29739400,-2.3843586133178274,-2.17053527728287,-4.360690355059738,-8.195988838165025,-8.595665581657752,-6.710720569967443,-9.347898924952801,0,0,0,0,0,0,0,2021-01-14,FB,0.43203728044367673
10,247.89999389648438,253.86000061035156,247.16000366210938,251.36000061035156,24942900,2.3286114781451817,-0.11126958352249972,0.10753286725830868,-2.1336224130488413,-6.058230096852846,-6.467213758870017,-4.538375701280762,1,0,1,0,0,0,0,2021-01-15,FB,0.8800156403316921
